Graphene sheet in zig-zag direction

8948 atoms 

1 atom types 

#simulation box 
-1.302486 149.278486 xlo xhi
-0.698000 151.819000 ylo yhi
-100.000000 100.000000 zlo zhi

Masses

1 12.000000 

Atoms

486 1 53.754639 8.463777 0.009081 
487 1 55.841080 7.259000 0.001432 
488 1 56.543594 8.462846 0.007667 
489 1 58.640487 7.262998 0.009870 
490 1 57.939051 8.465514 0.001008 
491 1 60.033078 7.259686 0.007629 
492 1 60.726830 8.469416 0.005170 
493 1 62.821710 7.263216 0.005905 
494 1 62.126406 8.472219 0.006559 
495 1 64.220519 7.262227 0.005326 
496 1 64.919539 8.469601 0.003672 
497 1 67.010393 7.259619 0.008669 
498 1 66.314068 8.463926 0.004438 
499 1 68.407002 7.257844 0.008334 
500 1 69.106036 8.466702 0.003604 
501 1 71.197403 7.256431 0.000868 
502 1 70.502294 8.465373 0.002976 
503 1 72.596249 7.255022 0.004951 
504 1 73.297064 8.465236 0.007851 
505 1 75.384741 7.257769 0.000034 
506 1 74.688207 8.462813 0.001892 
507 1 76.781425 7.256511 0.001749 
508 1 77.479386 8.468789 0.009011 
509 1 79.581394 7.256042 0.004827 
510 1 78.877760 8.468038 0.002649 
511 1 80.968684 7.258193 0.001739 
512 1 81.666261 8.472347 0.004306 
513 1 83.769616 7.261454 0.000073 
514 1 83.068800 8.469860 0.006451 
515 1 85.161523 7.256011 0.007724 
516 1 85.856280 8.466509 0.008909 
517 1 87.956564 7.257854 0.003180 
518 1 87.256086 8.471902 0.009091 
519 1 89.349916 7.257156 0.008531 
520 1 90.046424 8.471844 0.000332 
521 1 92.141324 7.260995 0.001793 
522 1 91.441365 8.464677 0.003219 
523 1 93.536039 7.259316 0.000487 
524 1 94.235527 8.465548 0.002415 
525 1 96.326431 7.255372 0.009564 
526 1 95.635357 8.470987 0.007283 
527 1 97.721758 7.257434 0.001888 
528 1 98.418012 8.465964 0.006996 
529 1 100.518253 7.259261 0.004390 
530 1 99.816874 8.467817 0.007615 
531 1 101.915624 7.259591 0.007477 
532 1 102.612455 8.464032 0.005044 
533 1 104.703473 7.254751 0.001478 
534 1 104.003982 8.469523 0.004315 
535 1 106.102944 7.256398 0.000098 
536 1 106.799323 8.465594 0.009462 
537 1 108.897064 7.257757 0.000249 
538 1 108.196714 8.471172 0.009715 
539 1 110.284569 7.258333 0.005825 
540 1 110.988866 8.469994 0.006500 
541 1 113.083269 7.257568 0.005816 
542 1 112.379161 8.463377 0.009798 
543 1 114.474848 7.259780 0.009622 
544 1 115.171858 8.464730 0.003416 
545 1 117.273329 7.257737 0.002732 
546 1 116.567519 8.466771 0.003747 
547 1 118.661311 7.258180 0.000915 
548 1 119.364146 8.462910 0.005733 
549 1 121.459897 7.256184 0.004480 
550 1 120.759694 8.463414 0.004963 
551 1 122.854423 7.256043 0.008371 
552 1 123.555711 8.471264 0.005060 
553 1 125.642789 7.261296 0.002369 
554 1 124.951573 8.469003 0.006003 
555 1 127.037726 7.254733 0.002553 
556 1 127.742586 8.471911 0.006996 
557 1 129.835252 7.256129 0.005761 
558 1 129.138106 8.466838 0.009884 
559 1 131.224900 7.257039 0.005114 
560 1 131.922606 8.470057 0.005566 
561 1 134.021294 7.262130 0.008588 
562 1 133.325890 8.465978 0.004522 
563 1 135.419522 7.254929 0.001097 
564 1 136.112699 8.468046 0.009727 
565 1 138.211104 7.256949 0.002915 
566 1 137.514504 8.471916 0.006393 
567 1 139.602554 7.254717 0.008383 
568 1 140.303847 8.472281 0.000610 
569 1 142.397846 7.256681 0.008277 
570 1 141.695910 8.467225 0.003934 
571 1 143.796266 7.260599 0.002076 
572 1 144.489181 8.464138 0.006715 
573 1 146.585710 7.255528 0.001477 
574 1 145.886761 8.471881 0.005522 
575 1 147.976329 7.254369 0.008051 
576 1 148.678514 8.466626 0.007896 
577 1 0.003643 9.677093 0.007117 
578 1 -0.689285 10.883987 0.006501 
579 1 1.405748 9.672530 0.005870 
580 1 2.098139 10.883791 0.002638 
581 1 4.195588 9.681722 0.001866 
582 1 3.497811 10.882658 0.009924 
583 1 5.592023 9.676012 0.007289 
584 1 6.286984 10.888790 0.003565 
585 1 8.376732 9.677680 0.009102 
586 1 7.679938 10.885024 0.007492 
587 1 9.772392 9.681233 0.007637 
588 1 10.475588 10.882538 0.004979 
589 1 12.569178 9.681712 0.008549 
590 1 11.875624 10.887489 0.004035 
591 1 13.969350 9.676565 0.002318 
592 1 14.661963 10.887751 0.005586 
593 1 16.759566 9.681725 0.009624 
594 1 16.059351 10.890339 0.001156 
595 1 18.148514 9.674813 0.005802 
596 1 18.851310 10.889712 0.005406 
597 1 20.944320 9.677197 0.007124 
598 1 20.242167 10.888709 0.001425 
599 1 22.340785 9.674338 0.003691 
600 1 23.040618 10.882396 0.002788 
601 1 25.129982 9.673721 0.003268 
602 1 24.438803 10.885411 0.004040 
603 1 26.525792 9.681459 0.004075 
604 1 27.230445 10.886853 0.003766 
605 1 29.324772 9.679619 0.004650 
606 1 28.626140 10.889684 0.004292 
607 1 30.715343 9.677736 0.009020 
608 1 31.417021 10.884475 0.007350 
609 1 33.513541 9.677198 0.005401 
610 1 32.809111 10.881412 0.001820 
611 1 34.900930 9.676405 0.000093 
612 1 35.607150 10.887127 0.000014 
613 1 37.692304 9.673855 0.004550 
614 1 36.995273 10.880786 0.007271 
615 1 39.091541 9.679574 0.004367 
616 1 39.790366 10.881192 0.000496 
617 1 41.880911 9.677710 0.002411 
618 1 41.190414 10.889272 0.009636 
619 1 43.280889 9.673973 0.002262 
620 1 43.979368 10.888321 0.003476 
621 1 46.072612 9.678163 0.009173 
622 1 45.371616 10.887856 0.005777 
623 1 47.468333 9.680612 0.003931 
624 1 48.163790 10.887033 0.006240 
625 1 50.259279 9.679800 0.009995 
626 1 49.567810 10.881970 0.002322 
627 1 51.652236 9.677844 0.001108 
628 1 52.354075 10.889541 0.005481 
629 1 54.447690 9.673853 0.004409 
630 1 53.755562 10.881940 0.004708 
631 1 55.848569 9.672204 0.006916 
632 1 56.547790 10.883533 0.001338 
633 1 58.638853 9.680865 0.006109 
634 1 57.943000 10.882634 0.007544 
635 1 60.031463 9.675956 0.001557 
636 1 60.734190 10.886949 0.007386 
637 1 62.828051 9.672442 0.009508 
638 1 62.126976 10.888251 0.007424 
639 1 64.224311 9.673335 0.004573 
640 1 64.920181 10.890022 0.008351 
641 1 67.016954 9.677595 0.005827 
642 1 66.318549 10.881049 0.008854 
643 1 68.408077 9.672134 0.007461 
644 1 69.103548 10.882139 0.006060 
645 1 71.198545 9.675012 0.004018 
646 1 70.502064 10.884562 0.006098 
647 1 72.593669 9.673651 0.000946 
648 1 73.293232 10.888396 0.002341 
649 1 75.391404 9.678698 0.008241 
650 1 74.694280 10.883634 0.003094 
651 1 76.785230 9.675023 0.008318 
652 1 77.486103 10.886270 0.002630 
653 1 79.578806 9.674107 0.004564 
654 1 78.877846 10.886086 0.009917 
655 1 80.975552 9.681575 0.002348 
656 1 81.671286 10.881214 0.007569 
657 1 83.766020 9.680342 0.009883 
658 1 83.071295 10.884795 0.000003 
659 1 85.161409 9.673847 0.002193 
660 1 85.857258 10.881659 0.007475 
661 1 87.955485 9.677203 0.003381 
662 1 87.258323 10.886226 0.009575 
663 1 89.352928 9.675335 0.005464 
664 1 90.045467 10.886928 0.007966 
665 1 92.143459 9.673025 0.008224 
666 1 91.438252 10.884844 0.007314 
667 1 93.539814 9.675443 0.007449 
668 1 94.238923 10.883126 0.001296 
669 1 96.326251 9.675270 0.002871 
670 1 95.635275 10.881213 0.005927 
671 1 97.721629 9.680154 0.001676 
672 1 98.423022 10.890693 0.003554 
673 1 100.512471 9.673907 0.003978 
674 1 99.817337 10.882996 0.009361 
